guessed_trade_name,parent_brand,product_count,sample_product,confidence,linking_method,,
Himalaya,Himalaya Wellness,359,Himalaya Haridra 60 Capsules Anti Allergic,HIGH,Exact Parent Brand Match,,
Tynor,Unlinked,310,Tynor Walking Stick Soft Top Size Bk,LOW,None,,
Avelia,Unlinked,216,Avelia Face Sheet Mask Hyaluronic Acid,LOW,None,,
Pampers,Pampers,205,Pampers Active Baby Xl 72 Diapers,HIGH,Exact Parent Brand Match,,
Dabur,Dabur India,186,Dabur Shilajit Double Gold Cap,HIGH,Exact Parent Brand Match,,
Nivea,Nivea,166,Nivea Essential Care Lip Balm,HIGH,Exact Parent Brand Match,,
Colgate,Colgate,160,Colgate 17x Slim Soft Charcoal Tooth Brush,HIGH,Exact Parent Brand Match,,
Huggies,Unlinked,159,Huggies L 5s Diapers,LOW,None,,
D,Unlinked,154,D 10 Anti Acne Face Wash 100ml Gel D 100001,LOW,None,,
Dr,Unlinked,146,Dr Morepen Bp One Bp09 Fully Automatic Blood Pressure Monitor Dr.,LOW,None,,
Ponds,Unlinked,146,Ponds Age Miracle 30ml Cream,LOW,None,,
Doqtar,Unlinked,145,Doqtar Blood Pressure Monitor Pbm 09 Advance,LOW,None,,
Patanjali,Patanjali Wellness,145,Patanjali Super Dishwash 70gm Bar,HIGH,Exact Parent Brand Match,,
Mamy,Unlinked,140,Mamy Poko L1 Daipers General,LOW,None,,
Dettol,Reckitt,137,Dettol Antiseptic 30gm Cream,HIGH,Verified Pharma Trade DB,,
I,Micro Labs,131,I V Fluids Ciproflaxacin I.v.0020,MEDIUM,URL Manufacturer Slug,,
B,Unlinked,128,B 75mg 30s Tab B,LOW,None,,
Mamaearth,Mamaearth,127,Mamaearth Baby Milky Soft 60gm Face Cream,HIGH,Exact Parent Brand Match,,
Garnier,Garnier,126,Garnier Color Naturals Single Use Hair Color 1 Natural Black,HIGH,Exact Parent Brand Match,,
K,Unlinked,115,K S 20 S Pack K.s.0003,LOW,None,,
L,Unlinked,109,L Alerid D Tab L Al0001,LOW,None,,
Liveasy,Unlinked,109,Liveasy Adhesive Bandages,LOW,None,,
Gillette,Gillette,105,Gillette Wilkinson Sword Blade,HIGH,Exact Parent Brand Match,,
C,Unlinked,104,C Bactum 1gm Inj C Ba0001,LOW,None,,
Baidyanath,Unlinked,100,Baidyanath Kabja Har Churna 100gm Shree Baidyanath,LOW,None,,
Whisper,Whisper,100,Whisper Bindazzz Nights Sanitary Pads Xl 15 Pads Buy 2 Get 1 Free,HIGH,Exact Parent Brand Match,,
Vissco,Unlinked,99,Vissco Clavicle Brace Child,LOW,None,,
Flamingo,Unlinked,93,Flamingo Calf Support Size L Pair,LOW,None,,
Dove,Dove,88,Dove Daily Shine Bio Protein Care 75ml Conditioner,HIGH,Exact Parent Brand Match,,
Kiddos,Unlinked,85,Kiddos Soft Powder Puff With Box,LOW,None,,
Q,Unlinked,85,Q Car Forte Tab Q Ca0001,LOW,None,,
T,Unlinked,83,T 1 Eye 3ml Drops T 1,LOW,None,,
Loreal,Unlinked,83,Loreal Casting Creme Gloss 200 Ebony Black,LOW,None,,
Cetaphil,Cetaphil,81,Cetaphil Baby Advanced Organic Calendula Protection 85gm Cream,HIGH,Exact Parent Brand Match,,
Mee,Unlinked,80,Mee Mee Soft Nozzle Nasal Aspirator,LOW,None,,
E,Unlinked,77,E Cal Cap E Ca0001,LOW,None,,
Johnsons,Unlinked,77,Johnsons Baby Milk Rice 100gm Cream,LOW,None,,
Fogg,Unlinked,77,Fogg 1000 Sprays Delicious For Women 150ml,LOW,None,,
S,Unlinked,76,S 26 Gold Infant Formula Stage 1 400gm Tin S 260001,LOW,None,,
