guessed_brand_name,product_count,parent_company,source_note,match_type
2baconil,5,,,
3d,9,,,
Ab,18,,,
Abdec,5,,,
Abdominal,17,,,
Absolut,9,,,
Absorbent,30,,,
Absorbia,5,,,
D,154,,,
Abvida,7,,,
Abzorb,5,,,
Ac,9,,,
Accuchek,24,Roche Diabetes Care India Pvt Ltd,Roche brand,normalized
Accuglim,8,,,
Accusure,29,,,
I,131,,,
B,128,,,
Accuzon,5,,,
Ace,13,,,
K,115,,,
L,109,,,
Aceclo,6,,,
Acefemptol,8,,,
C,104,,,
Aceflick,8,,,
Acegaba,7,,,
Aceleo,5,,,
Acemiz,6,,,
Acenac,6,,,
Acera,5,,,
Q,85,,,
T,83,,,
Acifix,5,,,
Acifresh,5,,,
Aciloc,6,,,
E,77,,,
Acinil,5,,,
Acitrom,8,,,
S,76,,,
Acivir,8,,,
Acne,22,,,
Acnecross,5,,,
Acnelak,7,,,
Acnesol,6,,,
Acnestar,6,,,
Actame,9,,,
Actifit,18,,,
Actiflash,23,,,
Actigrow,11,,,
Actilife,5,,,
M,65,,,
Actinerve,6,,,
Activa,14,,,
Active,26,,,
Acturaa,15,,,
Acuclav,9,,,
Ad,14,,,
Add,8,,,
P,59,,,
Adgaba,6,,,
Adgain,6,,,
G,58,,,
Adglim,14,,,
Adidas,5,,,
Adipostat,8,,,
Adult,5,,,
Advastat,12,,,
Advent,14,,,
Aeocal,5,,,
Aerotrop,6,,,
Af,10,,,
Affobis,5,,,
Affodapa,5,,,
Affotel,9,,,
Agiator,23,,,
Agidapa,15,,,
Agimonte,7,,,
Agipan,7,,,
Agivilda,6,,,
Ahaglow,13,,,
Ahsan,5,,,
Air,6,,,
U,45,,,
Airtec,7,,,
V,43,,,
Airz,8,,,
Ajay,8,,,
Akilos,5,,,
Aknegate,5,,,
Akurit,6,,,
Al,8,,,
Ala,5,,,
Alamin,7,,,
A,41,,,
Alaspan,5,,,
Albumen,6,,,
Alcinac,5,,,
Alcipro,5,,,
Alcon,6,,,
Aldactone,6,,,
Alday,6,,,
Aldep,5,,,
R,40,,,
Aldigesic,9,,,
Aldo,7,,,
Alempa,5,,,
Alerid,6,,,
Alerlife,9,,,
Alernyl,5,,,
Alex,17,,,
Alfa,9,,,
Alfoo,5,,,
Alkapac,5,,,
Alkaston,5,,,
Alkepin,5,,,
Alkof,15,,,
All,31,,,
Allegra,8,,,
Allercet,14,,,
Allerone,5,,,
Allout,6,,,
Almox,5,,,
Aloe,10,,,
Aloederm,8,,,
Alpenliebe,5,,,
Alpha,6,,,
Alphacept,5,,,
Alporate,6,,,
Alprax,7,,,
Alprovit,5,,,
Alsita,18,,,
Altacef,6,,,
Alten,6,,,
Althrocin,8,,,
Altonil,13,,,
Alviroz,7,,,
Alzil,6,,,
Am,7,,,
Amanza,10,,,
Amaryl,11,,,
Amazeo,7,,,
Ambipur,6,,,
Ambitech,5,,,
Ambrodil,15,,,
Ambrolite,14,,,
Amcard,5,,,
Amchek,6,,,
Amclamed,5,,,
Ameto,13,,,
Amicon,6,,,
Amide,6,,,
Aminorich,5,,,
Z,30,,,
Amitone,5,,,
Amitril,5,,,
Amitryn,6,,,
Amlo,7,,,
Amlodac,11,,,
Amlodest,6,,,
Amlokind,8,,,
Amlong,11,,,
Amlopin,6,,,
