brand_name,parent_company,source_note
Cipla,Cipla Ltd,Public company - manufacturer of its own trade name
Sun Pharma,Sun Pharmaceutical Industries Ltd,Public company
Mankind,Mankind Pharma Ltd,Public company
Dr Reddy's,Dr. Reddy's Laboratories Ltd,Public company
Dr. Reddy's,Dr. Reddy's Laboratories Ltd,Public company
Zydus,Zydus Lifesciences Ltd,Formerly Cadila Healthcare
Cadila,Zydus Lifesciences Ltd,Formerly Cadila Healthcare
Torrent,Torrent Pharmaceuticals Ltd,Public company
Alkem,Alkem Laboratories Ltd,Public company
Lupin,Lupin Ltd,Public company
Glenmark,Glenmark Pharmaceuticals Ltd,Public company
Intas,Intas Pharmaceuticals Ltd,Private company
Ipca,Ipca Laboratories Ltd,Public company
USV,USV Pvt Ltd,Private company
Emcure,Emcure Pharmaceuticals Ltd,Private company
Micro Labs,Micro Labs Ltd,Private company
Macleods,Macleods Pharmaceuticals Ltd,Private company
FDC,FDC Ltd,Public company - also makes Electral
Electral,FDC Ltd,FDC's ORS brand
Wockhardt,Wockhardt Ltd,Public company
Abbott,Abbott India Ltd,Indian arm of Abbott Laboratories (US)
Ensure,Abbott Nutrition,Abbott's nutrition brand
Pediasure,Abbott Nutrition,Abbott's nutrition brand
Similac,Abbott Nutrition,Abbott's nutrition brand
GSK,GlaxoSmithKline Pharmaceuticals Ltd,Now largely under Haleon for consumer brands
Glaxo,GlaxoSmithKline Pharmaceuticals Ltd,Now largely under Haleon for consumer brands
Crocin,Haleon (formerly GSK Consumer Healthcare),GSK consumer arm spun into Haleon globally
Eno,Haleon (formerly GSK Consumer Healthcare),GSK consumer arm spun into Haleon globally
Sensodyne,Haleon (formerly GSK Consumer Healthcare),GSK consumer arm spun into Haleon globally
Otrivin,Haleon (formerly GSK Consumer Healthcare),GSK consumer arm spun into Haleon globally
Pfizer,Pfizer Ltd,Indian arm of Pfizer Inc
Becosules,Pfizer Ltd,Pfizer's B-complex brand
Corex,Pfizer Ltd,Pfizer brand (regulatory status varies)
Gelusil,Pfizer Ltd,Pfizer brand
Sanofi,Sanofi India Ltd,Indian arm of Sanofi
Combiflam,Sanofi India Ltd,Sanofi brand
Novartis,Novartis India Ltd,Indian arm of Novartis
Johnson's,Kenvue Inc,Spun off from Johnson & Johnson's consumer arm
Johnson & Johnson,Johnson & Johnson,US parent - Indian consumer brands now under Kenvue
Himalaya,Himalaya Wellness Company,Formerly The Himalaya Drug Company
Dabur,Dabur India Ltd,Public company
Patanjali,Patanjali Ayurved Ltd,Private company
Dettol,Reckitt Benckiser (India) Ltd,RB brand
Harpic,Reckitt Benckiser (India) Ltd,RB brand
Durex,Reckitt Benckiser (India) Ltd,RB brand
Strepsils,Reckitt Benckiser (India) Ltd,RB brand
Moov,Reckitt Benckiser (India) Ltd,RB brand
Gaviscon,Reckitt Benckiser (India) Ltd,RB brand
Pampers,Procter & Gamble,P&G brand
Vicks,Procter & Gamble,P&G brand
Oral-B,Procter & Gamble,P&G brand
Huggies,Kimberly-Clark,Kimberly-Clark brand
MamyPoko,Unicharm Corporation,Unicharm brand
Horlicks,Hindustan Unilever Ltd,HUL acquired GSK Consumer's food/drinks brands
Boost,Hindustan Unilever Ltd,HUL acquired GSK Consumer's food/drinks brands
Complan,Zydus Wellness Ltd,Zydus Wellness acquired from Heinz
Glucon-D,Zydus Wellness Ltd,Zydus Wellness acquired from Heinz
Protinex,Zydus Wellness Ltd,Zydus Wellness acquired from Danone in 2022
Nestle,Nestle India Ltd,Indian arm of Nestle SA
Cerelac,Nestle India Ltd,Nestle brand
Nan,Nestle India Ltd,Nestle brand
Accu-Chek,Roche Diabetes Care India Pvt Ltd,Roche brand
OneTouch,LifeScan India Pvt Ltd,Spun off from Johnson & Johnson
Dr Morepen,Morepen Laboratories Ltd,Public company
Dr. Morepen,Morepen Laboratories Ltd,Public company
Omron,Omron Healthcare India Pvt Ltd,Indian arm of Omron Corp
Revital,Sun Pharma Consumer Healthcare Ltd,Sun Pharma's consumer arm
Volini,Sun Pharma Consumer Healthcare Ltd,Sun Pharma's consumer arm
Shelcal,Torrent Pharmaceuticals Ltd,Acquired from Elder Pharmaceuticals
Zincovit,Apex Laboratories Pvt Ltd,Part of USV group
Ascoril,Glenmark Pharmaceuticals Ltd,Glenmark brand
Cheston,Cipla Ltd,Cipla brand
Sinarest,Centaur Pharmaceuticals Pvt Ltd,Private company
Betadine,Win-Medicare Pvt Ltd,Indian licensee brand
Colgate,Colgate-Palmolive (India) Ltd,Indian arm of Colgate-Palmolive
Savlon,ITC Ltd,ITC's personal care division
Lifebuoy,Hindustan Unilever Ltd,HUL brand
