brand,status,domain,file
Abbott India,downloaded,abbott.com,logos\abbott-india.png
Aimil Pharmaceuticals,downloaded,aimilpharmaceuticals.com,logos\aimil-pharmaceuticals.png
Ajanta Pharma,downloaded,ajantapharma.com,logos\ajanta-pharma.png
Akums Drugs & Pharmaceuticals,downloaded,akums.net,logos\akums-drugs-pharmaceuticals.png
Al-Shifa,downloaded,alshifaeye.org,logos\al-shifa.png
Alembic Pharmaceuticals,downloaded,alembicpharmaceuticals.com,logos\alembic-pharmaceuticals.png
Alkem Laboratories,downloaded,alkemactiva.com,logos\alkem-laboratories.png
Ami Organics,downloaded,amiorganics.com,logos\ami-organics.png
Aristo Pharmaceuticals,downloaded,aristopharma.com,logos\aristo-pharmaceuticals.png
Baidyanath Jhansi,downloaded,baidyanath.co.in,logos\baidyanath-jhansi.png
Bajaj Healthcare,downloaded,bajajhealth.com,logos\bajaj-healthcare.png
Bayer Pharmaceuticals,downloaded,bayer.com,logos\bayer-pharmaceuticals.png
Biological E,downloaded,biologicale.com,logos\biological-e.png
Cadila Pharmaceuticals,downloaded,cadilapharma.com,logos\cadila-pharmaceuticals.png
Centaur Pharmaceuticals,downloaded,centaurpharma.com,logos\centaur-pharmaceuticals.png
Cetaphil,downloaded,cetaphil.com,logos\cetaphil.png
Cinthol,downloaded,godrejcp.com,logos\cinthol.png
Cipla,downloaded,cipla.com,logos\cipla.png
Cipla Health,downloaded,ciplahealth.in,logos\cipla-health.png
Colgate,downloaded,colgate.com,logos\colgate.png
Colgate-Palmolive,downloaded,colgatepalmolive.com,logos\colgate-palmolive.png
Corona Remedies,downloaded,coronaremedies.com,logos\corona-remedies.png
Dabur India,downloaded,dabur.com,logos\dabur-india.png
Dey's Medical,downloaded,deysmedical.com,logos\dey-s-medical.png
Dove,downloaded,dove.com,logos\dove.png
Dr. Reddy's Laboratories,downloaded,drreddysbiologics.com,logos\dr-reddy-s-laboratories.png
Dr. Willmar Schwabe India,downloaded,schwabeindia.com,logos\dr-willmar-schwabe-india.png
Elder Pharmaceuticals,downloaded,eldermarketings.com,logos\elder-pharmaceuticals.png
Emami,downloaded,emamiltd.in,logos\emami.png
Emcure Pharmaceuticals,downloaded,emcure.com,logos\emcure-pharmaceuticals.png
FDC,downloaded,fdcindia.com,logos\fdc.png
GSK India,downloaded,gsk.com,logos\gsk-india.png
Galderma India,downloaded,galderma.com,logos\galderma-india.png
Garnier,downloaded,garnier.com,logos\garnier.png
Gillette,downloaded,gillette.com,logos\gillette.png
Glenmark Pharmaceuticals,downloaded,glenmarkpharma.com,logos\glenmark-pharmaceuticals.png
Godrej Consumer Products,downloaded,godrejcp.com,logos\godrej-consumer-products.png
Godrej No. 1,downloaded,godrejcp.com,logos\godrej-no-1.png
Hamdard Dawakhana,downloaded,hamdard.in,logos\hamdard-dawakhana.png
Head & Shoulders,downloaded,headandshoulders.com,logos\head-shoulders.png
Himalaya,downloaded,himalaya.com,logos\himalaya.png
Himalaya Wellness,downloaded,himalayawellness.com,logos\himalaya-wellness.png
Ind-Swift Laboratories,downloaded,indswiftlabs.com,logos\ind-swift-laboratories.png
Indoco Remedies,downloaded,indoco.com,logos\indoco-remedies.png
Indulekha,downloaded,indulekha.com,logos\indulekha.png
Intas Pharmaceuticals,downloaded,intaspharma.com,logos\intas-pharmaceuticals.png
Ipca Laboratories,downloaded,ipca.com,logos\ipca-laboratories.png
J.B. Chemicals & Pharmaceuticals,downloaded,jbcpl.com,logos\j-b-chemicals-pharmaceuticals.png
JB Chemicals & Pharmaceuticals,downloaded,jbcpl.com,logos\jb-chemicals-pharmaceuticals.png
Jagsonpal Pharmaceuticals,downloaded,jagsonpal.com,logos\jagsonpal-pharmaceuticals.png
Johnson & Johnson,downloaded,jnj.com,logos\johnson-johnson.png
Jubilant Pharmova,downloaded,jubilantpharmova.com,logos\jubilant-pharmova.png
Kesh King,downloaded,keshking.com,logos\kesh-king.png
Khadi Natural,downloaded,khadinatural.com,logos\khadi-natural.png
Livon,downloaded,marico.com,logos\livon.png
Lotus Herbals,downloaded,lotusherbals.com,logos\lotus-herbals.png
Lupin,downloaded,lupin.com,logos\lupin.png
Macleods Pharmaceuticals,downloaded,macleodspharma.com,logos\macleods-pharmaceuticals.png
Mamaearth,downloaded,mamaearth.in,logos\mamaearth.png
Mankind Pharma,downloaded,mankindpharma.com,logos\mankind-pharma.png
Marico,downloaded,marico.com,logos\marico.png
Merck India,downloaded,merck.com,logos\merck-india.png
Meswak,downloaded,dabur.com,logos\meswak.png
Micro Labs,downloaded,microlabsltd.com,logos\micro-labs.png
Navratna,downloaded,navratna.com,logos\navratna.png
Nestlé Health Science India,downloaded,nestle.com,logos\nestl-health-science-india.png
Nihar Naturals,downloaded,marico.com,logos\nihar-naturals.png
Nivea,downloaded,nivea.com,logos\nivea.png
Novartis India,downloaded,novartis.in,logos\novartis-india.png
Old Spice,downloaded,oldspice.com,logos\old-spice.png
Oral-B,downloaded,oralb.com,logos\oral-b.png
P&G,downloaded,pg.com,logos\p-g.png
Pampers,downloaded,pampers.com,logos\pampers.png
Panacea Biotec,downloaded,panaceabiotec.com,logos\panacea-biotec.png
Pantene,downloaded,pantene.com,logos\pantene.png
Parachute,downloaded,marico.com,logos\parachute.png
Patanjali Ayurved,downloaded,patanjaliayurved.net,logos\patanjali-ayurved.png
Patanjali Wellness,downloaded,patanjaliwellness.com,logos\patanjali-wellness.png
Piramal Pharma,downloaded,piramalpharma.com,logos\piramal-pharma.png
Procter & Gamble,downloaded,pg.com,logos\procter-gamble.png
RPG Life Sciences,downloaded,rpglifesciences.com,logos\rpg-life-sciences.png
Sandoz India,downloaded,sandoz.com,logos\sandoz-india.png
Sensodyne,downloaded,sensodyne.com,logos\sensodyne.png
Sun Pharmaceutical Industries,downloaded,sunpharma.com,logos\sun-pharmaceutical-industries.png
Systopic Laboratories,downloaded,systopic.com,logos\systopic-laboratories.png
TTK Healthcare,downloaded,ttkhealthcare.com,logos\ttk-healthcare.png
Torrent Pharmaceuticals,downloaded,torrentpharma.com,logos\torrent-pharmaceuticals.png
USV,downloaded,usv.in,logos\usv.png
Unichem Laboratories,downloaded,unichemlabs.com,logos\unichem-laboratories.png
Vicco Laboratories,downloaded,viccolabs.com,logos\vicco-laboratories.png
Wallace Pharmaceuticals,downloaded,wallacepharma.com,logos\wallace-pharmaceuticals.png
Walter Bushnell,downloaded,walterbushnell.com,logos\walter-bushnell.png
Wanbury,downloaded,wanbury.com,logos\wanbury.png
Whisper,downloaded,whisper.com,logos\whisper.png
Zandu,downloaded,zanducare.com,logos\zandu.png
Zuventus Healthcare,downloaded,zuventus.com,logos\zuventus-healthcare.png
Zydus Lifesciences,downloaded,zyduslife.com,logos\zydus-lifesciences.png
Zydus Wellness,downloaded,zyduswellness.com,logos\zydus-wellness.png
AcneStar,downloaded,acnestar.com,logos\acnestar.png
AstraZeneca India,downloaded,astrazeneca.com,logos\astrazeneca-india.png
Blue Cross Laboratories,downloaded,bluecrosslabs.com,logos\blue-cross-laboratories.png
BoroPlus,downloaded,emamiltd.in,logos\boroplus.png
Charak Pharma,downloaded,charakpharma.com,logos\charak-pharma.png
Clinic Plus,downloaded,hul.co.in,logos\clinic-plus.png
Closeup,downloaded,closeup.com,logos\closeup.png
East India Pharmaceutical Works,downloaded,eipw.in,logos\east-india-pharmaceutical-works.png
Eris Lifesciences,downloaded,erislifesciences.com,logos\eris-lifesciences.png
Fair & Lovely,downloaded,glowandlovely.in,logos\fair-lovely.png
Fair and Handsome,downloaded,emamiltd.in,logos\fair-and-handsome.png
Fulford India,downloaded,fulfromindia.com,logos\fulford-india.png
Glow & Lovely,downloaded,glowandlovely.in,logos\glow-lovely.png
HIT,downloaded,godrejhit.com,logos\hit.png
Hindustan Antibiotics,downloaded,hindantibiotics.gov.in,logos\hindustan-antibiotics.png
Hindustan Unilever,downloaded,hul.co.in,logos\hindustan-unilever.png
Jubilant Generics,downloaded,jubilantpharma.com,logos\jubilant-generics.png
Lakmé,downloaded,lakmeindia.com,logos\lakm.png
Lifebuoy,downloaded,lifebuoy.com,logos\lifebuoy.png
Meyer Organics,downloaded,meyerorganics.com,logos\meyer-organics.png
Pepsodent,downloaded,pepsodent.com,logos\pepsodent.png
Pfizer India,downloaded,pfizer.com,logos\pfizer-india.png
Plethico Pharmaceuticals,downloaded,plfrx.in,logos\plethico-pharmaceuticals.png
Pond's,downloaded,ponds.com,logos\pond-s.png
Sanofi India,downloaded,sanofi.com,logos\sanofi-india.png
Set Wet,downloaded,setwet.com,logos\set-wet.png
Streax,downloaded,hygieneresearch.com,logos\streax.png
Sunsilk,downloaded,sunsilk.com,logos\sunsilk.png
Tresemmé,downloaded,tresemme.com,logos\tresemm.png
Troikaa Pharmaceuticals,downloaded,troikaapharma.com,logos\troikaa-pharmaceuticals.png
Vaseline,downloaded,vaseline.com,logos\vaseline.png
Win-Medicare,downloaded,winmedicare.com,logos\win-medicare.png
Zinda Tilismath,downloaded,zindatilismath.in,logos\zinda-tilismath.png
