selected,brand
TRUE,Abbott India
TRUE,AcneStar
TRUE,Aimil Pharmaceuticals
TRUE,Ajanta Pharma
TRUE,Akums Drugs & Pharmaceuticals
TRUE,Alembic Pharmaceuticals
TRUE,Alkem Laboratories
TRUE,Al-Shifa
TRUE,Ami Organics
TRUE,Aristo Pharmaceuticals
TRUE,AstraZeneca India
TRUE,Baidyanath Jhansi
TRUE,Bajaj Healthcare
TRUE,Bayer Pharmaceuticals
TRUE,Biological E
TRUE,Blue Cross Laboratories
TRUE,BoroPlus
TRUE,Cadila Pharmaceuticals
TRUE,Centaur Pharmaceuticals
TRUE,Cetaphil
TRUE,Charak Pharma
TRUE,Cinthol
TRUE,Cipla
TRUE,Cipla Health
TRUE,Clinic Plus
TRUE,Closeup
TRUE,Colgate
TRUE,Colgate-Palmolive
TRUE,Corona Remedies
TRUE,Dabur
TRUE,Dabur India
TRUE,Dawakhana Tibbiya College
TRUE,Dey's Medical
TRUE,Dove
TRUE,Dr. Reddy's Laboratories
TRUE,Dr. Willmar Schwabe India
TRUE,East India Pharmaceutical Works
TRUE,Elder Pharmaceuticals
TRUE,Emami
TRUE,Emcure Pharmaceuticals
TRUE,Eris Lifesciences
TRUE,Fair & Lovely
TRUE,Fair and Handsome
TRUE,FDC
TRUE,Franco-Indian Pharmaceuticals
TRUE,Fulford India
TRUE,Galderma
TRUE,Galderma India
TRUE,Garnier
TRUE,Gillette
TRUE,Glenmark
TRUE,Glenmark Pharmaceuticals
TRUE,Glow & Lovely
TRUE,Godrej Consumer Products
TRUE,Godrej No. 1
TRUE,GSK India
TRUE,Hamdard
TRUE,Hamdard Dawakhana
TRUE,Hamdard Laboratories India
TRUE,Head & Shoulders
TRUE,Himalaya
TRUE,Himalaya Wellness
TRUE,Hindustan Antibiotics
TRUE,Hindustan Unilever
TRUE,HIT
TRUE,Indoco Remedies
TRUE,Ind-Swift Laboratories
TRUE,Indulekha
TRUE,Intas Pharmaceuticals
TRUE,Ipca Laboratories
TRUE,J.B. Chemicals & Pharmaceuticals
TRUE,Jagsonpal Pharmaceuticals
TRUE,JB Chemicals & Pharmaceuticals
TRUE,Johnson & Johnson
TRUE,Jubilant Generics
TRUE,Jubilant Pharmova
TRUE,Kesh King
TRUE,Khadi Natural
TRUE,Lakmé
TRUE,Lifebuoy
TRUE,Livon
TRUE,Lotus Herbals
TRUE,Lupin
TRUE,Macleods Pharmaceuticals
TRUE,Mamaearth
TRUE,Mankind Pharma
TRUE,Marico
TRUE,Merck India
TRUE,Meswak
TRUE,Meyer Organics
TRUE,Micro Labs
TRUE,Navratna
TRUE,Nestlé Health Science India
TRUE,Nihar Naturals
TRUE,Nivea
TRUE,Novartis India
TRUE,Old Spice
TRUE,Oral-B
TRUE,P&G
TRUE,Pampers
TRUE,Panacea Biotec
TRUE,Pantene
TRUE,Parachute
TRUE,Patanjali Ayurved
TRUE,Patanjali Wellness
TRUE,Pepsodent
TRUE,Pfizer India
TRUE,Piramal Pharma
TRUE,Plethico Pharmaceuticals
TRUE,Pond's
TRUE,Procter & Gamble
TRUE,RPG Life Sciences
TRUE,Sandoz India
TRUE,Sanofi India
TRUE,Sensodyne
TRUE,Set Wet
TRUE,Streax
TRUE,Sun Pharmaceutical Industries
TRUE,Sunsilk
TRUE,Systopic Laboratories
TRUE,Torrent Pharmaceuticals
TRUE,Tresemmé
TRUE,Troikaa Pharmaceuticals
TRUE,TTK Healthcare
TRUE,Unichem Laboratories
TRUE,USV
TRUE,Vaseline
TRUE,Vicco Laboratories
TRUE,Wallace Pharmaceuticals
TRUE,Walter Bushnell
TRUE,Wanbury
TRUE,Whisper
TRUE,Win-Medicare
TRUE,Zandu
TRUE,Zandu Pharmaceutical Works
TRUE,Zinda Tilismath
TRUE,Zuventus Healthcare
TRUE,Zydus Lifesciences
TRUE,Zydus Wellness
